timestamp,alert_type,severity,actions_taken,status
2026-02-06T16:16:25.689765,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.689825,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.689870,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.689909,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.689947,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.689984,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690019,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690053,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690087,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690126,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690176,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690211,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690245,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690278,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690313,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690346,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690379,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690413,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690452,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690487,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690543,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690588,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690625,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690659,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690693,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690726,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690760,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690793,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690825,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
2026-02-06T16:16:25.690858,INTRUSION_DETECTED,HIGH,"BLOCK_SOURCE_IP,ISOLATE_AFFECTED_SERVICE,NOTIFY_SOC_TEAM",CONTAINED
